tipo_pedido,pedidos,tiempo_promedio,tiempo_mediano,review_promedio,porcentaje_reviews_bajas
Pedidos no extremos,95150,11.47,10,4.19,20.08
Fallas extremas,1320,57.25,50,1.80,81.52
