region_comprador,pedidos,fallas_extremas,tiempo_promedio,tiempo_mediano,p90_tiempo_entrega,pedidos_retrasados,tasa_fallas_extremas,indice_riesgo_operativo,diferencia_vs_tasa_global_pp,tasa_retraso_oficial,review_promedio,porcentaje_reviews_bajas
Norte,1796,94,22.144209354120267,20.0,36.0,171,5.233853006681515,3.8250742390497403,3.865551980455745,9.521158129175946,4.029229904440697,15.033407572383073
Nordeste,9044,358,19.536045997346307,17.0,33.0,1236,3.9584254754533394,2.8929492849771488,2.5901244492275697,13.666519239274658,3.96991643454039,16.6187527642636
Centro-Oeste,5624,68,14.563655761024181,13.0,24.0,416,1.209103840682788,0.8836533902323376,-0.15919718554298168,7.396870554765292,4.128798712906685,12.980085348506401
Sudeste,66193,663,10.288701222183615,8.0,19.0,4581,1.001616485126826,0.7320147145468554,-0.36668454109894366,6.92067137008445,4.1799708914616645,12.25356155484719
Sul,13813,137,13.55744588431188,12.0,24.0,903,0.9918193006587996,0.724854605564806,-0.3764817255669701,6.537319916021139,4.19145143688614,11.742561355245059
